BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
4,57.14,3,42.86,7,0,0,0.0,0.0,09565,Schwabach,,1
59,71.95,23,28.05,82,10,7,12.2,70.0,05974,Soest,,9
7,70.0,3,30.0,10,2,2,20.0,100.0,09184,München,,2
19,86.36,3,13.64,22,3,2,13.64,66.67,08211,"Baden-Baden, Stadtkreis",,3
75,75.76,24,24.24,99,13,5,13.13,38.46,08335,Konstanz,,10
10,55.56,8,44.44,18,1,0,5.56,0.0,15081,Altmarkkreis Salzwedel,,2
102,82.93,21,17.07,123,32,25,26.02,78.13,07314,"Ludwigshafen am Rhein, kreisfreie Stadt",,6
34,69.39,15,30.61,49,1,1,2.04,100.0,01001,"Flensburg, Stadt",,3
25,67.57,12,32.43,37,5,3,13.51,60.0,07143,Westerwaldkreis,,4
146,85.38,25,14.62,171,29,17,16.96,58.62,04011,"Bremen, Stadt",,10
7,50.0,7,50.0,14,4,3,28.57,75.0,07335,Kaiserslautern,,1
186,91.63,17,8.37,203,25,7,12.32,28.0,10045,Saarpfalz-Kreis,,4
38,74.51,13,25.49,51,10,5,19.61,50.0,07133,Bad Kreuznach,,6
13,56.52,10,43.48,23,2,1,8.7,50.0,15083,Börde,,2
4,57.14,3,42.86,7,1,1,14.29,100.0,16065,Kyffhäuserkreis,,1
16,59.26,11,40.74,27,2,0,7.41,0.0,09561,Ansbach,,2
26,68.42,12,31.58,38,2,1,5.26,50.0,15084,Burgenlandkreis,,3
3,37.5,5,62.5,8,0,0,0.0,0.0,16074,Saale-Holzland-Kreis,,1
13,81.25,3,18.75,16,3,2,18.75,66.67,09175,Ebersberg,,1
29,70.73,12,29.27,41,4,2,9.76,50.0,10043,Neunkirchen,,6
11,68.75,5,31.25,16,0,0,0.0,0.0,16055,"Weimar, Stadt",,1
33,73.33,12,26.67,45,6,4,13.33,66.67,05378,Rheinisch-Bergischer Kreis,,4
80,82.47,17,17.53,97,13,10,13.4,76.92,08317,Ortenaukreis,,8
14,73.68,5,26.32,19,1,0,5.26,0.0,07131,Ahrweiler,,2
78,66.67,39,33.33,117,1,0,0.85,0.0,01060,Segeberg,,4
14,87.5,2,12.5,16,3,3,18.75,100.0,03158,Wolfenbüttel,,1
26,65.0,14,35.0,40,2,2,5.0,100.0,03405,"Wilhelmshaven, Stadt",,2
20,74.07,7,25.93,27,6,5,22.22,83.33,09779,Donau-Ries,,3
121,89.63,14,10.37,135,25,1,18.52,4.0,09673,Rhön-Grabfeld,,1
7,87.5,1,12.5,8,1,1,12.5,100.0,16069,Hildburghausen,,1
11,91.67,1,8.33,12,0,0,0.0,0.0,16076,Greiz,,1
115,82.14,25,17.86,140,23,22,16.43,95.65,08421,"Ulm, Stadtkreis",,5
176,83.81,34,16.19,210,8,7,3.81,87.5,15003,"Magdeburg, Landeshauptstadt",,9
5,71.43,2,28.57,7,2,2,28.57,100.0,08126,Hohenlohekreis,,1
10,66.67,5,33.33,15,2,2,13.33,100.0,12053,"Frankfurt (Oder), Stadt",,1
16,76.19,5,23.81,21,4,0,19.05,0.0,12063,Havelland,,4
12,85.71,2,14.29,14,4,1,28.57,25.0,09476,Kronach,,1
6,75.0,2,25.0,8,3,1,37.5,33.33,09186,Pfaffenhofen a.d.Ilm,,1
17,65.38,9,34.62,26,7,3,26.92,42.86,12064,Märkisch-Oderland,,3
547,77.26,161,22.74,708,89,57,12.57,64.04,02000,"Hamburg, Freie und Hansestadt",,34
21,40.38,31,59.62,52,1,0,1.92,0.0,15091,Wittenberg,,4
9,69.23,4,30.77,13,0,0,0.0,0.0,07135,Cochem-Zell,,2
22,62.86,13,37.14,35,6,2,17.14,33.33,05117,"Mülheim an der Ruhr, Stadt",,2
22,61.11,14,38.89,36,0,0,0.0,0.0,03460,Vechta,,5
10,31.25,22,68.75,32,2,1,6.25,50.0,16054,"Suhl, Stadt",,2
19,95.0,1,5.0,20,10,4,50.0,40.0,06433,Groß-Gerau,,2
77,82.8,16,17.2,93,17,7,18.28,41.18,05116,"Mönchengladbach, Stadt",,6
25,75.76,8,24.24,33,2,2,6.06,100.0,03451,Ammerland,,3
51,62.2,31,37.8,82,3,1,3.66,33.33,13071,Mecklenburgische Seenplatte,,7
6,66.67,3,33.33,9,4,1,44.44,25.0,09674,Haßberge,,2
148,86.05,24,13.95,172,29,10,16.86,34.48,10041,Regionalverband Saarbrücken,,8
29,80.56,7,19.44,36,2,0,5.56,0.0,05558,Coesfeld,,5
42,84.0,8,16.0,50,9,9,18.0,100.0,06533,Limburg-Weilburg,,4
6,100.0,0,0.0,6,3,0,50.0,0.0,09274,Landshut,,1
103,74.64,35,25.36,138,2,0,1.45,0.0,01003,"Lübeck, Hansestadt",,2
36,43.9,46,56.1,82,3,2,3.66,66.67,08128,Main-Tauber-Kreis,,4
30,78.95,8,21.05,38,3,0,7.89,0.0,03153,Goslar,,3
22,62.86,13,37.14,35,2,0,5.71,0.0,16056,"Eisenach, Stadt",,1
92,81.42,21,18.58,113,13,9,11.5,69.23,03404,"Osnabrück, Stadt",,5
46,88.46,6,11.54,52,7,5,13.46,71.43,12051,"Brandenburg an der Havel, Stadt",,4
30,63.83,17,36.17,47,3,1,6.38,33.33,09478,Lichtenfels,,3
42,68.85,19,31.15,61,6,4,9.84,66.67,09774,Günzburg,,4
52,78.79,14,21.21,66,7,3,10.61,42.86,12067,Oder-Spree,,3
30,69.77,13,30.23,43,8,4,18.6,50.0,05512,"Bottrop, Stadt",,2
10,66.67,5,33.33,15,3,3,20.0,100.0,07311,"Frankenthal (Pfalz), kreisfreie Stadt",,1
124,82.67,26,17.33,150,24,13,16.0,54.17,05124,"Wuppertal, Stadt",,7
10,76.92,3,23.08,13,1,1,7.69,100.0,03356,Osterholz,,3
190,81.9,42,18.1,232,29,18,12.5,62.07,05562,Recklinghausen,,15
39,78.0,11,22.0,50,12,11,24.0,91.67,14522,Mittelsachsen,,5
