date,Belegte Betten,COVID-19-Fälle
2020-08-08T12:15:00+02:00,21405,229
2020-08-09T12:15:00+02:00,20978,234
2020-08-10T12:15:00+02:00,20970,228
2020-08-11T12:15:00+02:00,21614,231
2020-08-12T12:15:00+02:00,21801,221
2020-08-13T12:15:00+02:00,21881,224
2020-08-14T12:15:00+02:00,22013,230
2020-08-15T12:15:00+02:00,21700,228
2020-08-16T12:15:00+02:00,21215,225
2020-08-17T12:15:00+02:00,21246,227
2020-08-18T12:15:00+02:00,21766,220
2020-08-19T12:15:00+02:00,21920,227
2020-08-20T12:15:00+02:00,22077,230
2020-08-21T12:15:00+02:00,22079,237
2020-08-22T12:15:00+02:00,21628,232
2020-08-23T12:15:00+02:00,21121,245
2020-08-24T12:15:00+02:00,20960,245
2020-08-25T12:15:00+02:00,21641,225
2020-08-26T12:15:00+02:00,21814,227
2020-08-27T12:15:00+02:00,21702,240
2020-08-28T12:15:00+02:00,21680,236
2020-08-29T12:15:00+02:00,21548,241
2020-08-30T12:15:00+02:00,21034,244
2020-08-31T12:15:00+02:00,21027,245
2020-09-01T12:15:00+02:00,21659,234
2020-09-02T12:15:00+02:00,21808,227
2020-09-03T12:15:00+02:00,21816,222
2020-09-04T12:15:00+02:00,21738,224
2020-09-05T12:15:00+02:00,21589,222
2020-09-06T12:15:00+02:00,21014,218
2020-09-07T12:15:00+02:00,21079,228
2020-09-08T12:15:00+02:00,21756,230
2020-09-09T12:15:00+02:00,21867,227
2020-09-10T12:15:00+02:00,22043,233
2020-09-11T12:15:00+02:00,22105,220
2020-09-12T12:15:00+02:00,21730,233
2020-09-13T12:15:00+02:00,21254,236
2020-09-14T12:15:00+02:00,21102,237
2020-09-15T12:15:00+02:00,21824,236
2020-09-16T12:15:00+02:00,22129,233
2020-09-17T12:15:00+02:00,22299,238
2020-09-18T12:15:00+02:00,22088,246
2020-09-19T12:15:00+02:00,21622,257
2020-09-20T12:15:00+02:00,21184,268
2020-09-21T12:15:00+02:00,21143,267
2020-09-22T12:15:00+02:00,21756,278
2020-09-23T12:15:00+02:00,21884,293
2020-09-24T12:15:00+02:00,21919,296
2020-09-25T12:15:00+02:00,21989,301
2020-09-26T12:15:00+02:00,21748,312
2020-09-27T12:15:00+02:00,21103,325
2020-09-28T12:15:00+02:00,21086,353
2020-09-29T12:15:00+02:00,21834,352
2020-09-30T12:15:00+02:00,21960,355
2020-10-01T12:15:00+02:00,21821,362
2020-10-02T12:15:00+02:00,21789,373
2020-10-03T12:15:00+02:00,21509,403
2020-10-04T12:15:00+02:00,20975,424
2020-10-05T12:15:00+02:00,20900,446
2020-10-06T12:15:00+02:00,21489,449
2020-10-07T12:15:00+02:00,21820,470
2020-10-08T12:15:00+02:00,21768,487
2020-10-09T12:15:00+02:00,21728,510
2020-10-10T12:15:00+02:00,21450,531
2020-10-11T12:15:00+02:00,20875,545
2020-10-12T12:15:00+02:00,20897,590
2020-10-13T12:15:00+02:00,21320,618
2020-10-14T12:15:00+02:00,21488,602
2020-10-15T12:15:00+02:00,21503,655
2020-10-16T12:15:00+02:00,21546,690
2020-10-17T12:15:00+02:00,21244,731
2020-10-18T12:15:00+02:00,20665,769
2020-10-19T12:15:00+02:00,20712,851
2020-10-20T12:15:00+02:00,21303,879
2020-10-21T12:15:00+02:00,21415,943
2020-10-22T12:15:00+02:00,21473,1030
2020-10-23T12:15:00+02:00,21736,1121
2020-10-24T12:15:00+02:00,21421,1200
2020-10-25T12:15:00+01:00,20908,1294
2020-10-26T12:15:00+01:00,21025,1360
2020-10-27T12:15:00+01:00,21718,1468
2020-10-28T12:15:00+01:00,21790,1569
2020-10-29T12:15:00+01:00,21785,1696
2020-10-30T12:15:00+01:00,21682,1839
2020-10-31T12:15:00+01:00,21306,1944
