BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
23,50,23,50,46,0,0,0,0,07137,Mayen-Koblenz,null,4
62,70.45,26,29.55,88,0,0,0,0,07138,Neuwied,null,7
10,62.5,6,37.5,16,0,0,0,0,07140,Rhein-Hunsrück-Kreis,null,2
27,58.7,19,41.3,46,0,0,0,0,07141,Rhein-Lahn-Kreis,null,5
33,80.49,8,19.51,41,0,0,0,0,07143,Westerwaldkreis,null,4
82,64.57,45,35.43,127,1,0,0.79,0,07211,"Trier, kreisfreie Stadt",null,6
17,65.38,9,34.62,26,0,0,0,0,07231,Bernkastel-Wittlich,null,2
6,42.86,8,57.14,14,0,0,0,0,07232,Eifelkreis Bitburg-Prüm,null,2
10,47.62,11,52.38,21,0,0,0,0,07233,Vulkaneifel,null,2
13,81.25,3,18.75,16,1,0,6.25,0,07235,Trier-Saarburg,null,2
14,93.33,1,6.67,15,0,0,0,0,07311,"Frankenthal (Pfalz), kreisfreie Stadt",null,1
108,61.36,68,38.64,176,0,0,0,0,07312,"Kaiserslautern, kreisfreie Stadt",null,3
9,31.03,20,68.97,29,0,0,0,0,07313,"Landau in der Pfalz, kreisfreie Stadt",null,3
91,74.59,31,25.41,122,2,2,1.64,100,07314,"Ludwigshafen am Rhein, kreisfreie Stadt",null,6
103,91.15,10,8.85,113,0,0,0,0,07315,"Mainz, kreisfreie Stadt",null,2
10,38.46,16,61.54,26,0,0,0,0,07316,"Neustadt an der Weinstraße, kreisfreie Stadt",null,1
12,75,4,25,16,0,0,0,0,07317,"Pirmasens, kreisfreie Stadt",null,2
30,53.57,26,46.43,56,0,0,0,0,07318,"Speyer, kreisfreie Stadt",null,3
41,89.13,5,10.87,46,1,0,2.17,0,07319,"Worms, kreisfreie Stadt",null,3
2,14.29,12,85.71,14,0,0,0,0,07320,"Zweibrücken, kreisfreie Stadt",null,1
5,62.5,3,37.5,8,0,0,0,0,07331,Alzey-Worms,null,1
12,75,4,25,16,0,0,0,0,07332,Bad Dürkheim,null,2
5,35.71,9,64.29,14,0,0,0,0,07333,Donnersbergkreis,null,2
16,55.17,13,44.83,29,0,0,0,0,07334,Germersheim,null,2
6,42.86,8,57.14,14,1,1,7.14,100,07335,Kaiserslautern,null,1
16,84.21,3,15.79,19,0,0,0,0,07336,Kusel,null,1
11,64.71,6,35.29,17,0,0,0,0,07337,Südliche Weinstraße,null,2
10,41.67,14,58.33,24,1,1,4.17,100,07339,Mainz-Bingen,null,2
3,33.33,6,66.67,9,0,0,0,0,07340,Südwestpfalz,null,1
252,79,67,21,319,10,2,3.13,20,08111,"Stuttgart, Stadtkreis",null,11
50,83.33,10,16.67,60,2,1,3.33,50,08115,Böblingen,null,6
68,67.33,33,32.67,101,0,0,0,0,08116,Esslingen,null,8
30,37.04,51,62.96,81,1,1,1.23,100,08117,Göppingen,null,5
101,67.79,48,32.21,149,9,8,6.04,88.89,08118,Ludwigsburg,null,5
39,63.93,22,36.07,61,2,0,3.28,0,08119,Rems-Murr-Kreis,null,4
51,61.45,32,38.55,83,2,0,2.41,0,08121,"Heilbronn, Stadtkreis",null,3
46,88.46,6,11.54,52,0,0,0,0,08125,Heilbronn,null,2
7,58.33,5,41.67,12,0,0,0,0,08126,Hohenlohekreis,null,1
40,74.07,14,25.93,54,2,2,3.7,100,08127,Schwäbisch Hall,null,4
28,34.15,54,65.85,82,0,0,0,0,08128,Main-Tauber-Kreis,null,4
17,70.83,7,29.17,24,0,0,0,0,08135,Heidenheim,null,2
59,76.62,18,23.38,77,0,0,0,0,08136,Ostalbkreis,null,8
20,76.92,6,23.08,26,0,0,0,0,08211,"Baden-Baden, Stadtkreis",null,3
132,80.49,32,19.51,164,1,1,0.61,100,08212,"Karlsruhe, Stadtkreis",null,6
42,87.5,6,12.5,48,0,0,0,0,08215,Karlsruhe,null,3
12,100,0,0,12,0,0,0,0,08216,Rastatt,null,2
231,73.57,83,26.43,314,4,2,1.27,50,08221,"Heidelberg, Stadtkreis",null,6
96,82.76,20,17.24,116,0,0,0,0,08222,"Mannheim, Stadtkreis",null,6
10,58.82,7,41.18,17,0,0,0,0,08225,Neckar-Odenwald-Kreis,null,3
34,77.27,10,22.73,44,0,0,0,0,08226,Rhein-Neckar-Kreis,null,4
