BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
9,90.0,1,10.0,10,3,1,30.0,33.33,09371,Amberg-Sulzbach,,1
27,93.1,2,6.9,29,9,6,31.03,66.67,05762,Höxter,,5
61,91.04,6,8.96,67,13,6,19.4,46.15,03254,Hildesheim,,5
12,92.31,1,7.69,13,0,0,0.0,0.0,07337,Südliche Weinstraße,,2
13,92.86,1,7.14,14,2,1,14.29,50.0,09778,Unterallgäu,,2
126,85.14,22,14.86,148,12,5,8.11,41.67,06534,Marburg-Biedenkopf,,3
12,92.31,1,7.69,13,1,1,7.69,100.0,07235,Trier-Saarburg,,2
16,72.73,6,27.27,22,4,3,18.18,75.0,07334,Germersheim,,2
86,83.5,17,16.5,103,37,26,35.92,70.27,14524,Zwickau,,5
137,90.13,15,9.87,152,34,26,22.37,76.47,14511,"Chemnitz, Stadt",,3
13,81.25,3,18.75,16,6,2,37.5,33.33,07140,Rhein-Hunsrück-Kreis,,2
13,81.25,3,18.75,16,7,4,43.75,57.14,09471,Bamberg,,2
90,97.83,2,2.17,92,6,6,6.52,100.0,08316,Emmendingen,,3
11,91.67,1,8.33,12,2,1,16.67,50.0,07333,Donnersbergkreis,,2
94,82.46,20,17.54,114,10,6,8.77,60.0,06635,Waldeck-Frankenberg,,7
136,90.07,15,9.93,151,32,13,21.19,40.63,03159,Göttingen,,7
36,76.6,11,23.4,47,4,3,8.51,75.0,08127,Schwäbisch Hall,,2
5,83.33,1,16.67,6,2,0,33.33,0.0,09565,Schwabach,,1
66,89.19,8,10.81,74,9,6,12.16,66.67,05974,Soest,,7
4,40.0,6,60.0,10,0,0,0.0,0.0,09184,München,,2
11,91.67,1,8.33,12,1,1,8.33,100.0,08211,"Baden-Baden, Stadtkreis",,1
69,88.46,9,11.54,78,6,0,7.69,0.0,08335,Konstanz,,6
16,94.12,1,5.88,17,3,2,17.65,66.67,15081,Altmarkkreis Salzwedel,,2
83,81.37,19,18.63,102,23,9,22.55,39.13,07314,"Ludwigshafen am Rhein, kreisfreie Stadt",,4
36,100.0,0,0.0,36,7,5,19.44,71.43,01001,"Flensburg, Stadt",,2
25,71.43,10,28.57,35,3,2,8.57,66.67,07143,Westerwaldkreis,,4
140,90.91,14,9.09,154,28,14,18.18,50.0,04011,"Bremen, Stadt",,9
10,71.43,4,28.57,14,0,0,0.0,0.0,07335,Kaiserslautern,,1
170,90.43,18,9.57,188,31,11,16.49,35.48,10045,Saarpfalz-Kreis,,2
31,86.11,5,13.89,36,10,4,27.78,40.0,07133,Bad Kreuznach,,4
14,100.0,0,0.0,14,6,4,42.86,66.67,15083,Börde,,2
7,100.0,0,0.0,7,3,1,42.86,33.33,16065,Kyffhäuserkreis,,1
21,77.78,6,22.22,27,7,2,25.93,28.57,09561,Ansbach,,2
37,94.87,2,5.13,39,15,4,38.46,26.67,15084,Burgenlandkreis,,3
6,85.71,1,14.29,7,0,0,0.0,0.0,16074,Saale-Holzland-Kreis,,1
