BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
16,42.11,22,57.89,38,0,0,0,0,05966,Olpe,null,3
99,69.23,44,30.77,143,0,0,0,0,05970,Siegen-Wittgenstein,null,8
70,72.16,27,27.84,97,0,0,0,0,05974,Soest,null,9
91,77.78,26,22.22,117,2,1,1.71,50,05978,Unna,null,8
77,74.76,26,25.24,103,1,0,0.97,0,06411,"Darmstadt, Wissenschaftsstadt",null,7
264,85.44,45,14.56,309,3,1,0.97,33.33,06412,"Frankfurt am Main, Stadt",null,17
84,80,21,20,105,0,0,0,0,06413,"Offenbach am Main, Stadt",null,4
75,74.26,26,25.74,101,3,2,2.97,66.67,06414,"Wiesbaden, Landeshauptstadt",null,6
28,57.14,21,42.86,49,0,0,0,0,06431,Bergstraße,null,5
26,89.66,3,10.34,29,0,0,0,0,06432,Darmstadt-Dieburg,null,2
16,72.73,6,27.27,22,0,0,0,0,06433,Groß-Gerau,null,2
21,72.41,8,27.59,29,0,0,0,0,06434,Hochtaunuskreis,null,3
72,79.12,19,20.88,91,0,0,0,0,06435,Main-Kinzig-Kreis,null,7
23,88.46,3,11.54,26,0,0,0,0,06436,Main-Taunus-Kreis,null,2
105,83.33,21,16.67,126,0,0,0,0,06437,Odenwaldkreis,null,2
26,81.25,6,18.75,32,1,1,3.13,100,06438,Offenbach,null,2
5,27.78,13,72.22,18,0,0,0,0,06439,Rheingau-Taunus-Kreis,null,2
73,74.49,25,25.51,98,0,0,0,0,06440,Wetteraukreis,null,5
200,79.68,51,20.32,251,2,1,0.8,50,06531,Gießen,null,6
46,75.41,15,24.59,61,0,0,0,0,06532,Lahn-Dill-Kreis,null,2
43,72.88,16,27.12,59,2,2,3.39,100,06533,Limburg-Weilburg,null,4
128,83.66,25,16.34,153,0,0,0,0,06534,Marburg-Biedenkopf,null,3
22,59.46,15,40.54,37,0,0,0,0,06535,Vogelsbergkreis,null,4
156,77.61,45,22.39,201,1,0,0.5,0,06611,"Kassel, documenta-Stadt",null,6
80,86.02,13,13.98,93,0,0,0,0,06631,Fulda,null,5
48,63.16,28,36.84,76,0,0,0,0,06632,Hersfeld-Rotenburg,null,3
20,58.82,14,41.18,34,1,1,2.94,100,06633,Kassel,null,4
22,51.16,21,48.84,43,0,0,0,0,06634,Schwalm-Eder-Kreis,null,3
