BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
143,94.08,9,5.92,152,1,0,0.66,0,06534,Marburg-Biedenkopf,null,3
15,40.54,22,59.46,37,0,0,0,0,06535,Vogelsbergkreis,null,4
160,75.83,51,24.17,211,0,0,0,0,06611,"Kassel, documenta-Stadt",null,6
83,88.3,11,11.7,94,0,0,0,0,06631,Fulda,null,5
46,60.53,30,39.47,76,0,0,0,0,06632,Hersfeld-Rotenburg,null,3
22,64.71,12,35.29,34,0,0,0,0,06633,Kassel,null,4
21,51.22,20,48.78,41,0,0,0,0,06634,Schwalm-Eder-Kreis,null,3
71,65.74,37,34.26,108,1,0,0.93,0,06635,Waldeck-Frankenberg,null,7
22,50,22,50,44,0,0,0,0,06636,Werra-Meißner-Kreis,null,3
90,65.22,48,34.78,138,0,0,0,0,07111,"Koblenz, kreisfreie Stadt",null,6
14,73.68,5,26.32,19,1,1,5.26,100,07131,Ahrweiler,null,2
11,68.75,5,31.25,16,0,0,0,0,07132,Altenkirchen (Westerwald),null,2
28,52.83,25,47.17,53,0,0,0,0,07133,Bad Kreuznach,null,6
18,85.71,3,14.29,21,0,0,0,0,07134,Birkenfeld,null,2
7,53.85,6,46.15,13,0,0,0,0,07135,Cochem-Zell,null,2
21,45.65,25,54.35,46,0,0,0,0,07137,Mayen-Koblenz,null,4
66,75,22,25,88,0,0,0,0,07138,Neuwied,null,7
14,87.5,2,12.5,16,0,0,0,0,07140,Rhein-Hunsrück-Kreis,null,2
31,67.39,15,32.61,46,0,0,0,0,07141,Rhein-Lahn-Kreis,null,5
25,60.98,16,39.02,41,0,0,0,0,07143,Westerwaldkreis,null,4
95,74.8,32,25.2,127,2,2,1.57,100,07211,"Trier, kreisfreie Stadt",null,6
19,73.08,7,26.92,26,0,0,0,0,07231,Bernkastel-Wittlich,null,2
6,46.15,7,53.85,13,0,0,0,0,07232,Eifelkreis Bitburg-Prüm,null,2
10,47.62,11,52.38,21,0,0,0,0,07233,Vulkaneifel,null,2
4,25,12,75,16,0,0,0,0,07235,Trier-Saarburg,null,2
16,72.73,6,27.27,22,0,0,0,0,07311,"Frankenthal (Pfalz), kreisfreie Stadt",null,1
91,52,84,48,175,0,0,0,0,07312,"Kaiserslautern, kreisfreie Stadt",null,3
13,44.83,16,55.17,29,0,0,0,0,07313,"Landau in der Pfalz, kreisfreie Stadt",null,3
