GEN,AGS,25.01.2021,26.01.2021,27.01.2021,28.01.2021,29.01.2021,30.01.2021,31.01.2021,01.02.2021,02.02.2021,03.02.2021,04.02.2021,05.02.2021,06.02.2021,07.02.2021,08.02.2021,09.02.2021,10.02.2021,11.02.2021,12.02.2021,13.02.2021,14.02.2021,15.02.2021,16.02.2021,17.02.2021,18.02.2021,19.02.2021,20.02.2021,21.02.2021,22.02.2021,23.02.2021,24.02.2021,25.02.2021,26.02.2021,27.02.2021,28.02.2021,01.03.2021,02.03.2021,03.03.2021,04.03.2021,05.03.2021,06.03.2021,07.03.2021,08.03.2021,09.03.2021,10.03.2021,11.03.2021,12.03.2021,13.03.2021,current,current_time
Chemnitz,14511,,,,,,,,,,,,,,,,,,,,,,,,10433.0,10433.0,10433.0,10433.0,10433.0,10433.0,14028.0,14028.0,14028.0,14028.0,14028.0,15676.0,15676.0,15676.0,15676.0,15676.0,15676.0,20639.0,20639.0,20639.0,20639.0,20639.0,20639.0,20639.0,20639,20639,12/03/2021 00:00
Erzgebirgskreis,14521,,,,,,,,,,,,,,,,,,,,,,,,12188.0,12188.0,12188.0,12188.0,12188.0,12188.0,16148.0,16148.0,16148.0,16148.0,16148.0,17828.0,17828.0,17828.0,17828.0,17828.0,17828.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746,21746,13/03/2021 00:00
Mittelsachsen,14522,,,,,,,,,,,,,,,,,,,,,,,,11104.0,11104.0,11104.0,11104.0,11104.0,11104.0,15321.0,15321.0,15321.0,15321.0,15321.0,17646.0,17646.0,17646.0,17646.0,17646.0,17646.0,23724.0,23724.0,23724.0,23724.0,23724.0,23724.0,23724.0,23724,23724,13/03/2021 00:00
Vogtlandkreis,14523,,,,,,,,,,,,,,,,,,,,,,,,10195.0,10195.0,10195.0,10195.0,10195.0,10195.0,13822.0,13822.0,13822.0,13822.0,13822.0,15646.0,15646.0,15646.0,15646.0,15646.0,15646.0,20557.0,20557.0,20557.0,20557.0,20557.0,20557.0,20557.0,20557,20557,13/03/2021 00:00
Zwickau,14524,,,,,,,,,,,,,,,,,,,,,,,,11168.0,11168.0,11168.0,11168.0,11168.0,11168.0,15340.0,15340.0,15340.0,15340.0,15340.0,17459.0,17459.0,17459.0,17459.0,17459.0,17459.0,22736.0,22736.0,22736.0,22736.0,22736.0,22736.0,22736.0,22736,22736,12/03/2021 00:00
Dresden,14612,,,,,,,,,,,,,,,,,,,,,,,,22152.0,22152.0,22152.0,22152.0,22152.0,22152.0,29119.0,29119.0,29119.0,29119.0,29119.0,32566.0,32566.0,32566.0,32566.0,32566.0,32566.0,40182.0,40182.0,40182.0,40182.0,40182.0,40182.0,40182.0,40182,40182,13/03/2021 00:00
Bautzen,14625,,,,,,,,,,,,,,,,,,,,,,,,10213.0,10213.0,10213.0,10213.0,10213.0,10213.0,13847.0,13847.0,13847.0,13847.0,13847.0,15636.0,15636.0,15636.0,15636.0,15636.0,15636.0,19013.0,19013.0,19013.0,19013.0,19013.0,19013.0,19013.0,19013,19013,13/03/2021 00:00
Görlitz,14626,,,,,,,,,,,,,,,,,,,,,,,,9596.0,9596.0,9596.0,9596.0,9596.0,9596.0,13258.0,13258.0,13258.0,13258.0,13258.0,15134.0,15134.0,15134.0,15134.0,15134.0,15134.0,19398.0,19398.0,19398.0,19398.0,19398.0,19398.0,19398.0,19398,19398,13/03/2021 00:00
Meißen,14627,,,,,,,,,,,,,,,,,,,,,,,,9055.0,9055.0,9055.0,9055.0,9055.0,9055.0,12674.0,12674.0,12674.0,12674.0,12674.0,14082.0,14082.0,14082.0,14082.0,14082.0,14082.0,18486.0,18486.0,18486.0,18486.0,18486.0,18486.0,18486.0,18486,18486,13/03/2021 00:00
Sächsische Schweiz-Osterzgebirge,14628,,,,,,,,,,,,,,,,,,,,,,,,8703.0,8703.0,8703.0,8703.0,8703.0,8703.0,12869.0,12869.0,12869.0,12869.0,12869.0,14799.0,14799.0,14799.0,14799.0,14799.0,14799.0,18655.0,18655.0,18655.0,18655.0,18655.0,18655.0,18655.0,18655,18655,13/03/2021 00:00
Leipzig,14713,,,,,,,,,,,,,,,,,,,,,,,,27837.0,27837.0,27837.0,27837.0,27837.0,27837.0,35726.0,35726.0,35726.0,35726.0,35726.0,39034.0,39034.0,39034.0,39034.0,39034.0,39034.0,46623.0,46623.0,46623.0,46623.0,46623.0,46623.0,46623.0,46623,46623,12/03/2021 00:00
Leipzig,14729,,,,,,,,,,,,,,,,,,,,,,,,9974.0,9974.0,9974.0,9974.0,9974.0,9974.0,13829.0,13829.0,13829.0,13829.0,13829.0,15579.0,15579.0,15579.0,15579.0,15579.0,15579.0,19359.0,19359.0,19359.0,19359.0,19359.0,19359.0,19359.0,19359,19359,13/03/2021 00:00
Nordsachsen,14730,,,,,,,,,,,,,,,,,,,,,,,,7942.0,7942.0,7942.0,7942.0,7942.0,7942.0,11241.0,11241.0,11241.0,11241.0,11241.0,13777.0,13777.0,13777.0,13777.0,13777.0,13777.0,15921.0,15921.0,15921.0,15921.0,15921.0,15921.0,15921.0,15921,15921,12/03/2021 00:00
Dessau-Roßlau,15001,,,,,2330.0,2330.0,2330.0,2330.0,2330.0,2330.0,2330.0,2330.0,2330.0,2330.0,2330.0,2330.0,2330.0,2330.0,2330.0,5811.0,5811.0,5811.0,5811.0,5944.0,5944.0,6418.0,6418.0,6418.0,6752.0,6752.0,6752.0,7643.0,7643.0,7643.0,7643.0,7643.0,7643.0,7643.0,9597.0,9597.0,9597.0,9597.0,9597.0,9597.0,9597.0,9597.0,9597.0,9597,9597,12/03/2021 00:00
Halle (Saale),15002,5527.0,,,,7533.0,7533.0,8804.0,8804.0,9056.0,9266.0,9798.0,10157.0,10361.0,10361.0,10394.0,10394.0,10785.0,10785.0,10785.0,13786.0,15152.0,15152.0,15152.0,15450.0,15450.0,16833.0,17374.0,18743.0,24210.0,19363.0,19363.0,19363.0,19363.0,21183.0,22205.0,22205.0,22931.0,22931.0,22931.0,22931.0,22931.0,29184.0,29184.0,29184.0,29184.0,32178.0,33156.0,33156,33156,13/03/2021 00:00
Magdeburg,15003,,,,,5102.0,5102.0,5102.0,5102.0,5102.0,5102.0,5102.0,5102.0,5102.0,5102.0,5102.0,5102.0,5102.0,5102.0,5102.0,11074.0,11074.0,11074.0,11074.0,11764.0,11764.0,13248.0,13248.0,13248.0,13922.0,13922.0,13922.0,15582.0,15582.0,15582.0,15582.0,15582.0,15582.0,15582.0,18883.0,18883.0,18883.0,18883.0,18883.0,18883.0,18883.0,18883.0,18883.0,18883,18883,12/03/2021 00:00
Altmarkkreis Salzwedel,15081,,,,,2811.0,2811.0,3162.0,3162.0,3162.0,3162.0,3162.0,3162.0,3162.0,3162.0,3162.0,3162.0,3162.0,3162.0,3162.0,5182.0,5182.0,5182.0,5182.0,5647.0,5647.0,6023.0,6023.0,6023.0,6023.0,6023.0,6023.0,6447.0,6447.0,6447.0,6447.0,6447.0,6447.0,6447.0,8083.0,8083.0,8764.0,8764.0,8764.0,8764.0,8764.0,8764.0,10377.0,10377,10377,12/03/2021 00:00
Anhalt-Bitterfeld,15082,1341.0,,,,4081.0,4081.0,5532.0,5532.0,5532.0,5532.0,5532.0,5532.0,5532.0,5532.0,5532.0,5532.0,5532.0,5532.0,5532.0,6529.0,6529.0,6529.0,6529.0,7267.0,7267.0,7714.0,7714.0,7714.0,8506.0,8506.0,8506.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9671.0,9671.0,9671.0,9671.0,9671.0,9671.0,9671.0,9671.0,9671.0,9671,9671,12/03/2021 00:00
Börde,15083,,,,,3622.0,3622.0,3622.0,3622.0,3622.0,3622.0,3622.0,3622.0,3622.0,3622.0,3622.0,3622.0,3622.0,3622.0,3622.0,5929.0,5929.0,5929.0,5929.0,6383.0,6383.0,6914.0,6914.0,6914.0,7262.0,7262.0,7262.0,8021.0,8021.0,8021.0,8021.0,8021.0,8021.0,8021.0,10037.0,10037.0,10037.0,10037.0,10037.0,10037.0,10037.0,10037.0,10037.0,10037,10037,12/03/2021 00:00
Burgenlandkreis,15084,,,,,4594.0,4594.0,4594.0,4594.0,4594.0,4594.0,4594.0,4594.0,4594.0,4594.0,4594.0,4594.0,4594.0,4594.0,4594.0,6731.0,6731.0,6731.0,6731.0,7024.0,7024.0,7278.0,7278.0,7278.0,7375.0,7375.0,7375.0,7717.0,7717.0,7717.0,7717.0,7717.0,7717.0,7717.0,9697.0,9697.0,9697.0,9697.0,9697.0,9697.0,9697.0,9697.0,9697.0,9697,9697,13/03/2021 00:00
Harz,15085,5386.0,,,,5567.0,5567.0,5567.0,5567.0,7583.0,7583.0,7583.0,7583.0,7583.0,7583.0,8991.0,8991.0,8991.0,8991.0,8991.0,10602.0,10602.0,10602.0,10602.0,11277.0,11277.0,12312.0,12595.0,12595.0,12595.0,12595.0,12595.0,12595.0,12595.0,12595.0,12595.0,12595.0,15954.0,15954.0,15954.0,15954.0,15954.0,15954.0,15954.0,15954.0,15954.0,15954.0,15954.0,15954,15954,12/03/2021 00:00
Jerichower Land,15086,,,,,2402.0,2402.0,2402.0,2402.0,2402.0,2402.0,2402.0,2402.0,2402.0,2402.0,2402.0,2402.0,2402.0,2402.0,2402.0,4356.0,4356.0,4356.0,4356.0,4600.0,4600.0,5547.0,5547.0,5547.0,5547.0,5547.0,5547.0,5547.0,5547.0,5547.0,5547.0,5547.0,5547.0,5547.0,7109.0,7109.0,7109.0,7109.0,7109.0,7109.0,7109.0,7109.0,7109.0,7109,7109,12/03/2021 00:00
Mansfeld-Südharz,15087,2040.0,,,,3160.0,3160.0,3160.0,3160.0,3160.0,3160.0,4839.0,4839.0,4839.0,4839.0,4839.0,4839.0,4839.0,4839.0,4839.0,6182.0,6182.0,6182.0,6182.0,6756.0,6756.0,7083.0,7083.0,7083.0,7119.0,7119.0,7119.0,8083.0,8083.0,8083.0,8083.0,8083.0,8083.0,8083.0,9171.0,9171.0,9171.0,9171.0,9171.0,9171.0,9171.0,9171.0,9171.0,9171,9171,12/03/2021 00:00
