GEN,AGS,25.01.2021,26.01.2021,27.01.2021,28.01.2021,29.01.2021,30.01.2021,31.01.2021,01.02.2021,02.02.2021,03.02.2021,04.02.2021,05.02.2021,06.02.2021,07.02.2021,08.02.2021,09.02.2021,10.02.2021,11.02.2021,12.02.2021,13.02.2021,14.02.2021,15.02.2021,16.02.2021,17.02.2021,18.02.2021,19.02.2021,20.02.2021,21.02.2021,22.02.2021,23.02.2021,24.02.2021,25.02.2021,26.02.2021,27.02.2021,28.02.2021,01.03.2021,02.03.2021,03.03.2021,04.03.2021,05.03.2021,06.03.2021,07.03.2021,08.03.2021,09.03.2021,10.03.2021,11.03.2021,12.03.2021,13.03.2021,14.03.2021,15.03.2021,16.03.2021,17.03.2021,18.03.2021,19.03.2021,20.03.2021,21.03.2021,22.03.2021,23.03.2021,24.03.2021,25.03.2021,26.03.2021,27.03.2021,28.03.2021,29.03.2021,30.03.2021,31.03.2021,01.04.2021,02.04.2021,03.04.2021,04.04.2021,05.04.2021,06.04.2021,07.04.2021,08.04.2021,09.04.2021,10.04.2021,11.04.2021,12.04.2021,13.04.2021,14.04.2021,15.04.2021,16.04.2021,17.04.2021,18.04.2021,19.04.2021,20.04.2021,21.04.2021,current,current_time
Uelzen,3360,1514.0,,,,1514.0,1514.0,1514.0,1514.0,1514.0,1736.0,1736.0,1736.0,2112.0,2112.0,2112.0,2112.0,2112.0,2112.0,2112.0,2112.0,2112.0,2112.0,2112.0,3377.0,3377.0,4565.0,4565.0,4565.0,4565.0,4565.0,4565.0,4565.0,4565.0,4565.0,4565.0,4565.0,4565.0,4565.0,4565.0,4565.0,4565.0,4565.0,4565.0,4565.0,4565.0,4565.0,4565.0,4565.0,13901.0,13901.0,13901.0,13901.0,13901.0,13901.0,13901.0,13901.0,13901.0,13901.0,13901.0,13901.0,13901.0,15478.0,15478.0,15478.0,15478.0,15478.0,15478.0,15478.0,15478.0,15478.0,15478.0,15478.0,15478.0,15478.0,15478.0,15478.0,15478.0,15478.0,15478.0,15478.0,15478.0,15478.0,15478.0,15478.0,15478.0,23939.0,23939,23939,21/04/2021 00:00
Verden,3361,,,,,,,,,,,,,,,,,,,,,,,,,,6649.0,6649.0,6649.0,6649.0,6649.0,6649.0,6649.0,6649.0,6649.0,6649.0,6649.0,8110.0,8110.0,8110.0,8110.0,8110.0,8110.0,8110.0,8110.0,8110.0,10646.0,10646.0,10646.0,10646.0,10646.0,10646.0,10646.0,10646.0,10646.0,10646.0,10646.0,10646.0,10646.0,10646.0,15643.0,15643.0,15643.0,15643.0,15643.0,15643.0,15643.0,15643.0,15643.0,15643.0,15643.0,15643.0,15643.0,15643.0,15643.0,15643.0,15643.0,15643.0,15643.0,15643.0,15643.0,15643.0,15643.0,15643.0,15643.0,15643.0,15643.0,15643,15643,21/04/2021 00:00
Delmenhorst,3401,,,,,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,2292.0,2292.0,2292.0,2292.0,2292.0,2292.0,2292.0,2292.0,2292.0,2292.0,2292.0,2292.0,2292.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,6500.0,6500.0,6500.0,6500.0,6500.0,7592.0,7592.0,7592.0,7592.0,7592.0,7592.0,7592.0,7592.0,7592.0,7592.0,7592.0,7592.0,7592.0,7592.0,7592.0,7592.0,7592.0,7592.0,7592.0,7592.0,7592.0,11501.0,11501.0,11501.0,11501.0,11501.0,11501.0,11501.0,11501.0,11501.0,11501.0,11501.0,11501.0,11501.0,11501,11501,21/04/2021 00:00
Emden,3402,1170.0,,,,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,4731.0,4731.0,4731.0,4731.0,4731.0,4731.0,4731.0,5673.0,5673.0,5673.0,6256.0,6407.0,6407.0,6407.0,6407.0,6407.0,6407.0,6407.0,6407.0,6407.0,6407.0,6407.0,6407.0,6407.0,6407.0,6407.0,6407.0,6407.0,6407.0,6407.0,6407.0,6407.0,6407.0,6407.0,6407.0,6407.0,10806.0,10956.0,10956.0,10956.0,10956.0,10956.0,10956.0,10956.0,11916,11916,21/04/2021 00:00
Oldenburg (Oldb),3403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37743.0,37743.0,37743.0,37743.0,37743.0,37743.0,37743.0,37743,37743,21/04/2021 00:00
Osnabrück,3404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/04/2021 00:00
Wilhelmshaven,3405,,,,,,,,,,,,,,,,,,,,,,,,,,3770.0,3770.0,3770.0,3770.0,3770.0,3770.0,3770.0,3770.0,3770.0,3770.0,3770.0,4204.0,4204.0,4204.0,4204.0,4204.0,4204.0,4204.0,6121.0,6121.0,6121.0,6121.0,6121.0,6121.0,6121.0,6121.0,6121.0,7594.0,7594.0,7594.0,7594.0,7594.0,7594.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942,8942,21/04/2021 00:00
Ammerland,3451,,,,,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,6048.0,6048.0,6048.0,6048.0,6048.0,6048.0,6048.0,7549.0,7549.0,7549.0,7549.0,7549.0,9472.0,10056.0,10056.0,10056.0,10056.0,10056.0,10056.0,11632.0,11632.0,11632.0,11632.0,11632.0,11632.0,11632.0,13831.0,13831.0,13831.0,13831.0,13831.0,13831.0,13831.0,13831.0,13831.0,17029.0,17029.0,17029.0,17029.0,17029.0,17029.0,17029.0,17029.0,17029.0,17029.0,17029.0,17029.0,17029.0,17029.0,17029.0,17029.0,17029.0,17029.0,24402.0,24402.0,24402.0,24402.0,24402.0,24402.0,24402.0,24402,24402,20/04/2021 00:00
Aurich,3452,,,,,,,,,,,,,,,,,,,,,,,,,,,8814.0,8886.0,8886.0,8886.0,9714.0,9714.0,9714.0,11330.0,11555.0,11555.0,12215.0,12215.0,12215.0,13312.0,13312.0,14720.0,14720.0,14720.0,14720.0,16578.0,16578.0,16578.0,16578.0,16578.0,16578.0,16578.0,20181.0,20181.0,20181.0,20181.0,20181.0,20181.0,20181.0,20181.0,20181.0,25600.0,25600.0,25808.0,25808.0,27672.0,27672.0,27672.0,27672.0,27672.0,27672.0,27672.0,27672.0,27672.0,27672.0,27672.0,27672.0,27672.0,27672.0,36513.0,36513.0,36513.0,36513.0,36513.0,36513.0,41677.0,41677,41677,21/04/2021 00:00
Cloppenburg,3453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302.0,21302,21302,21/04/2021 00:00
