GEN,AGS,25.01.2021,26.01.2021,27.01.2021,28.01.2021,29.01.2021,30.01.2021,31.01.2021,01.02.2021,02.02.2021,03.02.2021,04.02.2021,05.02.2021,06.02.2021,07.02.2021,08.02.2021,09.02.2021,10.02.2021,11.02.2021,12.02.2021,13.02.2021,14.02.2021,15.02.2021,16.02.2021,17.02.2021,18.02.2021,19.02.2021,20.02.2021,21.02.2021,22.02.2021,23.02.2021,24.02.2021,25.02.2021,26.02.2021,27.02.2021,28.02.2021,01.03.2021,02.03.2021,03.03.2021,04.03.2021,05.03.2021,06.03.2021,07.03.2021,08.03.2021,09.03.2021,10.03.2021,11.03.2021,12.03.2021,13.03.2021,14.03.2021,15.03.2021,16.03.2021,17.03.2021,18.03.2021,19.03.2021,20.03.2021,21.03.2021,22.03.2021,23.03.2021,24.03.2021,current,current_time
Miesbach,9182,,,,,,,,,,,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,10839.0,10839.0,10839,10839,23/03/2021 00:00
Mühldorf a. Inn,9183,,,,,4055.0,4055.0,4055.0,4055.0,4055.0,4055.0,4055.0,5384.0,5384.0,5384.0,5384.0,5384.0,5384.0,5384.0,6257.0,6257.0,6257.0,6257.0,6257.0,6257.0,6257.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696.0,17588.0,17588.0,17588.0,17588.0,17588.0,17588,17588,23/03/2021 00:00
München,9184,,,,,,,,,,,,,,,,,16707.0,16707.0,16707.0,16707.0,16707.0,16707.0,16707.0,20285.0,21087.0,21087.0,22354.0,23140.0,23140.0,24781.0,25727.0,26856.0,26856.0,26856.0,30057.0,30057.0,30935.0,30935.0,30935.0,35161.0,35161.0,37520.0,38582.0,38582.0,40405.0,40405.0,42220.0,43621.0,43621.0,43621.0,43621.0,43621.0,43621.0,43621.0,43621.0,43621.0,43621.0,52667.0,52667,52667,23/03/2021 00:00
Neuburg-Schrobenhausen,9185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Pfaffenhofen a.d. Ilm,9186,1756.0,,,,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,12839.0,12839.0,12839.0,12839.0,12839.0,12839.0,12839.0,12839.0,12839.0,12839.0,12839.0,12839.0,12839,12839,23/03/2021 00:00
Rosenheim,9187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Starnberg,9188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Traunstein,9189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13571.0,13571.0,13571.0,13571.0,13571.0,13571.0,13571.0,17296.0,17952.0,17952.0,17952.0,17952.0,17952.0,20267.0,20267.0,20267.0,21445.0,21445.0,21445.0,21445.0,23016.0,23656.0,23656,23656,23/03/2021 00:00
Weilheim-Schongau,9190,,,,,,,,,,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,6526.0,6526.0,6526.0,6526.0,6526.0,6526.0,6526.0,6526.0,6526.0,6526.0,6526.0,6526.0,9930.0,10320.0,10320.0,10320.0,10320.0,10320.0,10320.0,10320.0,10320.0,10320.0,10320.0,10320.0,10320.0,13894.0,15656.0,15656.0,16514.0,16847.0,16847.0,16847.0,17232.0,17687.0,17687,17687,23/03/2021 00:00
Landshut,9261,,,,,,,,,,,,,,,,,,,,,,,,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000,12000,23/03/2021 00:00
