date	impfstoff	region	dosen	einrichtung
2021-02-12	astra	DE-HE	31200	impfzentren
2021-02-12	astra	DE-MV	7200	impfzentren
2021-02-12	astra	DE-NI	38400	impfzentren
2021-02-12	astra	DE-NW	84000	impfzentren
2021-02-12	astra	DE-RP	19200	impfzentren
2021-02-12	astra	DE-SL	4800	impfzentren
2021-02-12	astra	DE-SN	19200	impfzentren
2021-02-12	astra	DE-ST	9600	impfzentren
2021-02-12	astra	DE-SH	14400	impfzentren
2021-02-12	astra	DE-TH	9600	impfzentren
2021-02-15	moderna	DE-BW	24000	impfzentren
2021-02-15	moderna	DE-BY	28800	impfzentren
2021-02-15	moderna	DE-BE	8400	impfzentren
2021-02-15	moderna	DE-BB	6000	impfzentren
2021-02-15	moderna	DE-HB	1200	impfzentren
2021-02-15	moderna	DE-HH	3600	impfzentren
2021-02-15	moderna	DE-HE	14400	impfzentren
2021-02-15	moderna	DE-MV	3600	impfzentren
2021-02-15	moderna	DE-NI	18000	impfzentren
2021-02-15	moderna	DE-NW	39600	impfzentren
2021-02-15	moderna	DE-RP	8400	impfzentren
2021-02-15	moderna	DE-SL	2400	impfzentren
2021-02-15	moderna	DE-SN	8400	impfzentren
2021-02-15	moderna	DE-ST	4800	impfzentren
2021-02-15	moderna	DE-SH	6000	impfzentren
2021-02-15	moderna	DE-TH	4800	impfzentren
2021-02-16	comirnaty	DE-BW	122850	impfzentren
2021-02-16	comirnaty	DE-BY	146250	impfzentren
2021-02-16	comirnaty	DE-BE	40950	impfzentren
2021-02-16	comirnaty	DE-BB	26910	impfzentren
2021-02-16	comirnaty	DE-HB	5850	impfzentren
2021-02-16	comirnaty	DE-HH	17550	impfzentren
2021-02-16	comirnaty	DE-HE	70200	impfzentren
2021-02-16	comirnaty	DE-MV	17550	impfzentren
2021-02-16	comirnaty	DE-NI	87750	impfzentren
2021-02-16	comirnaty	DE-NW	198900	impfzentren
2021-02-16	comirnaty	DE-RP	40950	impfzentren
2021-02-16	comirnaty	DE-SL	11700	impfzentren
2021-02-16	comirnaty	DE-SN	40950	impfzentren
2021-02-16	comirnaty	DE-ST	23400	impfzentren
2021-02-16	comirnaty	DE-SH	29250	impfzentren
2021-02-16	comirnaty	DE-TH	23400	impfzentren
2021-02-19	astra	DE-BW	91200	impfzentren
2021-02-19	astra	DE-BY	108000	impfzentren
2021-02-19	astra	DE-BE	33600	impfzentren
2021-02-19	astra	DE-BB	21600	impfzentren
2021-02-19	astra	DE-HB	7200	impfzentren
2021-02-19	astra	DE-HH	16800	impfzentren
2021-02-19	astra	DE-HE	55200	impfzentren
2021-02-19	astra	DE-MV	14400	impfzentren
2021-02-19	astra	DE-NI	69600	impfzentren
2021-02-19	astra	DE-NW	151200	impfzentren
2021-02-19	astra	DE-RP	36000	impfzentren
2021-02-19	astra	DE-SL	9600	impfzentren
2021-02-19	astra	DE-SN	36000	impfzentren
2021-02-19	astra	DE-ST	19200	impfzentren
2021-02-19	astra	DE-SH	26400	impfzentren
2021-02-19	astra	DE-TH	19200	impfzentren
2021-02-23	comirnaty	DE-BW	122850	impfzentren
2021-02-23	comirnaty	DE-BY	146250	impfzentren
2021-02-23	comirnaty	DE-BE	40950	impfzentren
2021-02-23	comirnaty	DE-BB	29250	impfzentren
2021-02-23	comirnaty	DE-HB	5850	impfzentren
2021-02-23	comirnaty	DE-HH	23400	impfzentren
2021-02-23	comirnaty	DE-HE	72540	impfzentren
2021-02-23	comirnaty	DE-MV	17550	impfzentren
2021-02-23	comirnaty	DE-NI	87750	impfzentren
2021-02-23	comirnaty	DE-NW	198900	impfzentren
2021-02-23	comirnaty	DE-RP	40950	impfzentren
2021-02-23	comirnaty	DE-SL	11700	impfzentren
2021-02-23	comirnaty	DE-SN	46800	impfzentren
2021-02-23	comirnaty	DE-ST	23400	impfzentren
2021-02-23	comirnaty	DE-SH	35100	impfzentren
2021-02-23	comirnaty	DE-TH	23400	impfzentren
2021-02-27	moderna	DE-BW	45600	impfzentren
2021-02-27	moderna	DE-BY	54000	impfzentren
2021-02-27	moderna	DE-BE	15600	impfzentren
2021-02-27	moderna	DE-BB	10800	impfzentren
2021-02-27	moderna	DE-HB	2400	impfzentren
2021-02-27	moderna	DE-HH	7200	impfzentren
2021-02-27	moderna	DE-HE	26400	impfzentren
2021-02-27	moderna	DE-MV	7200	impfzentren
2021-02-27	moderna	DE-NI	32400	impfzentren
2021-02-27	moderna	DE-NW	74400	impfzentren
2021-02-27	moderna	DE-RP	16800	impfzentren
2021-02-27	moderna	DE-SL	3600	impfzentren
2021-02-27	moderna	DE-SN	16800	impfzentren
2021-02-27	moderna	DE-ST	9600	impfzentren
2021-02-27	moderna	DE-SH	12000	impfzentren
2021-02-27	moderna	DE-TH	8400	impfzentren
2021-03-02	comirnaty	DE-BW	134550	impfzentren
2021-03-02	comirnaty	DE-BY	163800	impfzentren
2021-03-02	comirnaty	DE-BE	40950	impfzentren
2021-03-02	comirnaty	DE-BB	31590	impfzentren
2021-03-02	comirnaty	DE-HB	11700	impfzentren
2021-03-02	comirnaty	DE-HH	23400	impfzentren
2021-03-02	comirnaty	DE-HE	76050	impfzentren
2021-03-02	comirnaty	DE-MV	17550	impfzentren
2021-03-02	comirnaty	DE-NI	93600	impfzentren
2021-03-02	comirnaty	DE-NW	216450	impfzentren
2021-03-02	comirnaty	DE-RP	46800	impfzentren
2021-03-02	comirnaty	DE-SL	11700	impfzentren
2021-03-02	comirnaty	DE-SN	52650	impfzentren
2021-03-02	comirnaty	DE-ST	23400	impfzentren
2021-03-02	comirnaty	DE-SH	40950	impfzentren
2021-03-02	comirnaty	DE-TH	29250	impfzentren
2021-03-02	astra	DE-BW	86400	impfzentren
2021-03-02	astra	DE-BY	100800	impfzentren
2021-03-02	astra	DE-BE	28800	impfzentren
2021-03-02	astra	DE-BB	19200	impfzentren
2021-03-02	astra	DE-HB	4800	impfzentren
2021-03-02	astra	DE-HH	14400	impfzentren
2021-03-02	astra	DE-HE	50400	impfzentren
2021-03-02	astra	DE-MV	12000	impfzentren
2021-03-02	astra	DE-NI	62400	impfzentren
2021-03-02	astra	DE-NW	139200	impfzentren
2021-03-02	astra	DE-RP	33600	impfzentren
2021-03-02	astra	DE-SL	7200	impfzentren
2021-03-02	astra	DE-SN	33600	impfzentren
2021-03-02	astra	DE-ST	16800	impfzentren
2021-03-02	astra	DE-SH	24000	impfzentren
2021-03-02	astra	DE-TH	16800	impfzentren
2021-03-09	comirnaty	DE-BW	140400	impfzentren
2021-03-09	comirnaty	DE-BY	175500	impfzentren
2021-03-09	comirnaty	DE-BE	46800	impfzentren
2021-03-09	comirnaty	DE-BB	35100	impfzentren
2021-03-09	comirnaty	DE-HB	5850	impfzentren
2021-03-09	comirnaty	DE-HH	23400	impfzentren
2021-03-09	comirnaty	DE-HE	81900	impfzentren
2021-03-09	comirnaty	DE-MV	23400	impfzentren
2021-03-09	comirnaty	DE-NI	105300	impfzentren
2021-03-09	comirnaty	DE-NW	234000	impfzentren
2021-03-09	comirnaty	DE-RP	52650	impfzentren
2021-03-09	comirnaty	DE-SL	12870	impfzentren
2021-03-09	comirnaty	DE-SN	52650	impfzentren
2021-03-09	comirnaty	DE-ST	29250	impfzentren
2021-03-09	comirnaty	DE-SH	35100	impfzentren
2021-03-09	comirnaty	DE-TH	29250	impfzentren
2021-03-09	astra	DE-BW	127200	impfzentren
2021-03-09	astra	DE-BY	151200	impfzentren
2021-03-09	astra	DE-BE	43200	impfzentren
2021-03-09	astra	DE-BB	28800	impfzentren
2021-03-09	astra	DE-HB	7200	impfzentren
