Anzahl der Meldebereiche,date
77,2020-05-18T12:15:00+02:00
77,2020-05-17T12:15:00+02:00
77,2020-05-16T12:15:00+02:00
77,2020-05-15T12:15:00+02:00
77,2020-05-14T12:15:00+02:00
76,2020-05-13T12:15:00+02:00
75,2020-05-12T12:15:00+02:00
75,2020-05-11T12:15:00+02:00
75,2020-05-10T12:15:00+02:00
75,2020-05-09T12:15:00+02:00
75,2020-05-08T12:15:00+02:00
74,2020-05-07T12:15:00+02:00
74,2020-05-06T12:15:00+02:00
74,2020-05-05T12:15:00+02:00
73,2020-05-04T12:15:00+02:00
73,2020-05-03T12:15:00+02:00
73,2020-05-02T12:15:00+02:00
73,2020-05-01T12:15:00+02:00
73,2020-04-30T12:15:00+02:00
73,2020-04-29T12:15:00+02:00
72,2020-04-28T12:15:00+02:00
70,2020-04-27T12:15:00+02:00
69,2020-04-26T12:15:00+02:00
69,2020-04-25T12:15:00+02:00
68,2020-04-24T12:15:00+02:00
68,2020-04-23T12:15:00+02:00
67,2020-04-22T12:15:00+02:00
64,2020-04-21T12:15:00+02:00
65,2020-04-20T12:15:00+02:00
64,2020-04-19T12:15:00+02:00
64,2020-04-18T12:15:00+02:00
62,2020-04-17T12:15:00+02:00
52,2020-04-16T12:15:00+02:00
50,2020-04-15T12:15:00+02:00
48,2020-04-14T12:15:00+02:00
48,2020-04-13T12:15:00+02:00
49,2020-04-12T12:15:00+02:00
49,2020-04-11T12:15:00+02:00
52,2020-04-10T12:15:00+02:00
50,2020-04-09T12:15:00+02:00
46,2020-04-08T12:15:00+02:00
48,2020-04-07T12:15:00+02:00
47,2020-04-06T12:15:00+02:00
48,2020-04-05T12:15:00+02:00
49,2020-04-04T12:15:00+02:00
46,2020-04-03T12:15:00+02:00
46,2020-04-02T12:15:00+02:00
43,2020-04-01T12:15:00+02:00
41,2020-03-31T12:15:00+02:00
39,2020-03-30T12:15:00+02:00
37,2020-03-29T12:15:00+02:00
37,2020-03-28T12:15:00+01:00
38,2020-03-27T12:15:00+01:00
40,2020-03-26T12:15:00+01:00
40,2020-03-25T12:15:00+01:00
37,2020-03-24T12:15:00+01:00
34,2020-03-23T12:15:00+01:00
33,2020-03-22T12:15:00+01:00
31,2020-03-21T12:15:00+01:00
21,2020-03-20T12:15:00+01:00
